car_park_no,x_coord,y_coord,xy_coord,LatLng,Latitude,Longitude,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement
SB29,26526.029,48295.8664,"26526.029, 48295.8664","1.4530382285185848,103.82007344108088",1.4530382285185848,103.82007344108088,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
SB3,26377.6891,47399.3922,"26377.6891, 47399.3922","1.4449308718090392,103.81874050724771",1.4449308718090392,103.81874050724771,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
SB30,25798.9394,48563.7941,"25798.9394, 48563.7941","1.45546120950761,103.81353977637423",1.45546120950761,103.81353977637423,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N
SB31,25908.3774,48570.2721,"25908.3774, 48570.2721","1.4555198023717923,103.81452318926746",1.4555198023717923,103.81452318926746,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,6,2.15,N
SB32,27227.5367,47985.4174,"27227.5367, 47985.4174","1.4502306822692048,103.82637721389254",1.4502306822692048,103.82637721389254,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N
SB33,27345.0145,48093.3785,"27345.0145, 48093.3785","1.451207041623105,103.82743286826829",1.451207041623105,103.82743286826829,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13,2.15,N
SB34,25796.9155,48472.7851,"25796.9155, 48472.7851","1.4546381609934198,103.81352159672453",1.4546381609934198,103.81352159672453,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,3.8,N
SB35,27808.9467,47485.5107,"27808.9467, 47485.5107","1.445709739081579,103.83160177449992",1.445709739081579,103.83160177449992,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N
SB36,28073.8648,47675.4504,"28073.8648, 47675.4504","1.4474274772225475,103.8339823274774",1.4474274772225475,103.8339823274774,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1,2.15,N
SB37,27935.4647,47865.1427,"27935.4647, 47865.1427","1.4491429773962317,103.83273866360977",1.4491429773962317,103.83273866360977,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N
SB38,27930.3532,47366.8059,"27930.3532, 47366.8059","1.4446362216005808,103.83269273289595",1.4446362216005808,103.83269273289595,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,2.15,N
SB39,27876.1108,47714.037,"27876.1108, 47714.037","1.44777643858256,103.83220530968686",1.44777643858256,103.83220530968686,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.15,N
SB4,26659.5337,47304.5182,"26659.5337, 47304.5182","1.4440728848054323,103.82127316475858",1.4440728848054323,103.82127316475858,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
SB40,27486.3855,47524.8095,"27486.3855, 47524.8095","1.4460651373965832,103.82870324073713",1.4460651373965832,103.82870324073713,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N
SB41,25822.6138,47537.0937,"25822.6138, 47537.0937","1.446176150484808,103.8137525951205",1.446176150484808,103.8137525951205,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N
